#T	β	c	e	chi	s
100	0.01	1.86547e-05	-0.251861	0.00746287	0.693138
50	0.02	7.49831e-05	-0.253731	0.0148515	0.69311
33.3333	0.03	0.00016952	-0.25561	0.0221659	0.693063
25	0.04	0.000302787	-0.257498	0.029406	0.692997
20	0.05	0.000475287	-0.259395	0.036572	0.692911
16.6667	0.06	0.000687507	-0.2613	0.0436637	0.692807
14.2857	0.07	0.00093992	-0.263214	0.0506813	0.692682
12.5	0.08	0.00123298	-0.265137	0.0576248	0.692538
11.1111	0.09	0.00156711	-0.267067	0.0644943	0.692374
10	0.1	0.00194274	-0.269006	0.0712898	0.69219
9.09091	0.11	0.00236026	-0.270953	0.0780113	0.691985
8.33333	0.12	0.00282004	-0.272907	0.084659	0.69176
7.69231	0.13	0.00332244	-0.274869	0.091233	0.691515
7.14286	0.14	0.00386778	-0.276839	0.0977333	0.691249
6.66667	0.15	0.00445639	-0.278816	0.10416	0.690963
6.25	0.16	0.00508855	-0.2808	0.110513	0.690655
5.88235	0.17	0.00576452	-0.282791	0.116793	0.690327
5.55556	0.18	0.00648455	-0.284789	0.123	0.689977
5.26316	0.19	0.00724884	-0.286794	0.129134	0.689606
5	0.2	0.0080576	-0.288805	0.135195	0.689214
3.33333	0.3	0.0186146	-0.309235	0.191833	0.684102
2.5	0.4	0.033634	-0.330104	0.24141	0.676795
2	0.5	0.0528619	-0.351205	0.284221	0.667298
1.66667	0.6	0.0757768	-0.372321	0.320645	0.655686
1.42857	0.7	0.101628	-0.393233	0.351129	0.642095
1.25	0.8	0.1295	-0.413736	0.37618	0.626722
1.11111	0.9	0.158389	-0.433643	0.396337	0.609807
1	1	0.187293	-0.452796	0.41216	0.591619
0.909091	1.1	0.215278	-0.471064	0.424203	0.572445
0.833333	1.2	0.241544	-0.488352	0.433003	0.552572
0.769231	1.3	0.265456	-0.504596	0.439067	0.532276
0.714286	1.4	0.286562	-0.51976	0.442857	0.511813
0.666667	1.5	0.304586	-0.533838	0.444791	0.49141
0.625	1.6	0.319417	-0.546842	0.445235	0.471261
0.588235	1.7	0.331076	-0.558805	0.444506	0.451531
0.555556	1.8	0.339694	-0.569771	0.442874	0.43235
0.526316	1.9	0.345476	-0.579793	0.440567	0.413816
0.5	2	0.348681	-0.588931	0.437771	0.396004
0.47619	2.1	0.349592	-0.597248	0.434639	0.378961
0.454545	2.2	0.348505	-0.604807	0.431294	0.362715
0.434783	2.3	0.345712	-0.61167	0.427834	0.34728
0.416667	2.4	0.34149	-0.617897	0.424333	0.332651
0.4	2.5	0.336097	-0.623546	0.420851	0.318816
0.384615	2.6	0.329766	-0.628669	0.417432	0.305755
0.37037	2.7	0.322707	-0.633318	0.414108	0.29344
0.357143	2.8	0.315102	-0.637537	0.410901	0.28184
0.344828	2.9	0.30711	-0.64137	0.407827	0.270921
0.333333	3	0.298866	-0.644853	0.404894	0.260648
0.322581	3.1	0.290485	-0.648022	0.402109	0.250985
0.3125	3.2	0.282061	-0.650908	0.399472	0.241895
0.30303	3.3	0.273673	-0.65354	0.396982	0.233344
0.294118	3.4	0.265382	-0.655942	0.394637	0.225298
0.285714	3.5	0.25724	-0.658139	0.39243	0.217723
0.277778	3.6	0.249287	-0.660149	0.390357	0.210588
0.27027	3.7	0.241551	-0.661991	0.38841	0.203864
0.263158	3.8	0.234055	-0.663683	0.386585	0.197522
0.25641	3.9	0.226813	-0.665238	0.384873	0.191537
0.25	4	0.219835	-0.666669	0.383269	0.185883
0.243902	4.1	0.213126	-0.667989	0.381765	0.180538
0.238095	4.2	0.206688	-0.669208	0.380355	0.17548
0.232558	4.3	0.200519	-0.670336	0.379033	0.170689
0.227273	4.4	0.194615	-0.67138	0.377794	0.166147
0.222222	4.5	0.188971	-0.672349	0.37663	0.161837
0.217391	4.6	0.183578	-0.673248	0.375538	0.157743
0.212766	4.7	0.178429	-0.674086	0.374512	0.153851
0.208333	4.8	0.173516	-0.674866	0.373548	0.150146
0.204082	4.9	0.168828	-0.675593	0.37264	0.146617
0.2	5	0.164356	-0.676273	0.371786	0.143252
0.196078	5.1	0.16009	-0.67691	0.370981	0.140039
0.192308	5.2	0.156021	-0.677506	0.370223	0.136971
0.188679	5.3	0.152139	-0.678065	0.369506	0.134036
0.185185	5.4	0.148437	-0.678589	0.36884	0.131228
0.181818	5.5	0.144899	-0.679083	0.3682	0.128537
0.178571	5.6	0.14152	-0.679548	0.367595	0.125957
